CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamp:P50023,je dopuna primjerku,kamp:C10005,Povezuje primjerak koji je fizički fragment i koji pripada istom primjerku kao i drugi fragment u istoj ili drugoj ustanovi ili zbirci. ,kamp:P50021,kamp:C10005,kamp:P50024
kamp:P50024,je dopuna primjerku,kamp:C10005,Povezuje primjerak koji je fizički fragment i koji pripada istom primjerku kao i drugi fragment u istoj ili drugoj ustanovi ili zbirci. ,kamp:P50021,kamp:C10005,kamp:P50023
kamp:P50025,je primjerak povezan s agentom,kamp:C10005,"Povezuje primjerak s agentom koji je ga prikupio, posjedovao, obradio i/ili izmijenio.",kamp:P50014,kama:C10006,kama:P60006
kamp:P50026,je primjerak povezan s osobom,kamp:C10005,"Povezuje primjerak s osobom koja ga je prikupila, posjedovala, obradila i/ili izmijenila.",kamp:P50025,kamo:C10007,kamo:P70022
kamp:P50027,je primjerak povezan s kolektivnim agentom,kamp:C10005,"Povezuje primjerak s kolektivnim agentom koji je ga prikupio, posjedovao, obradio i/ili izmijenio.",kamp:P50025,kamka:C10008,kamka:P80006
kamp:P50028,je primjerak povezan s korporativnim tijelom,kamp:C10005,"Povezuje primjerak s korporativnim tijelom koje ga je prikupilo, posjedovalo, obradilo i/ili izmijenilo.",kamp:P50027,kamkt:C10009,kamkt:P90013
kamp:P50029,je primjerak povezan s obitelji,kamp:C10005,"Povezuje primjerak s obitelji koja ga je prikupila, posjedovala, obradila i/ili izmijenila.",kamp:P50027,kamob:C10010,kamob:P10013
kamp:P50030,je primjerak povezan s mjestom,kamp:C10005,Povezuje primjerak s mjestom.,kamp:P50014,kamm:C10011,kamm:P11016
kamp:P50031,je primjerak povezan s vremenskim rasponom,kamp:C10005,Povezuje primjerak s vremenskim rasponom.,kamp:P50014,kamvr:C10012,kamvr:P12013
kamp:P50033,ima agenta koji je preinačio primjerak,kamp:C10005,"Povezuje primjerak s agentom čijom je intervencijom primjerak stekao posebna obilježja, uključujući ona po kojima se razlikuje od drugih primjeraka istog pojavnog oblika",kamp:P50025,kama:C10006,kama:P60164
kamp:P50034,ima osobu koja je preinačila primjerak,kamp:C10005,"Povezuje primjerak s osobom čijom je intervencijom primjerak stekao posebna obilježja, uključujući ona po kojima se razlikuje od drugih primjeraka istog pojavnog oblika",kamp:P50026,kamo:C10007,kamo:P70173
kamp:P50035,ima kolektivni agent koji je preinačio primjerak,kamp:C10005,"Povezuje primjerak s kolektivnim agentom čijom je intervencijom primjerak stekao posebna obilježja, uključujući ona po kojima se razlikuje od drugih primjeraka istog pojavnog oblika",kamp:P50027,kamka:C10008,kamka:P80166
kamp:P50036,ima korporativno tijelo koje je preinačilo primjerak,kamp:C10005,"Povezuje primjerak s korporativnim tijelom čijom je intervencijom primjerak stekao posebna obilježja, uključujući ona po kojima se razlikuje od drugih primjeraka istog pojavnog oblika",kamp:P50028,kamkt:C10009,kamkt:P90165
kamp:P50037,ima obitelj koja je preinačila primjerak,kamp:C10005,"Povezuje primjerak s obitelji čijom je intervencijom primjerak stekao posebna obilježja, uključujući ona po kojima se razlikuje od drugih primjeraka istog pojavnog oblika",kamp:P50029,kamob:C10010,kamob:P10164
kamp:P50038,ima agenta anotatora,kamp:C10005,"Povezuje primjerak s agentom koji je na primjerak tiskanog sveska ručno dodao tekstualne, slikovne ili druge bilješke.",kamp:P50033,kama:C10006,kama:P60165
kamp:P50039,ima osobu anotatora,kamp:C10005,"Povezuje primjerak s osobom koja je na primjerak tiskanog sveska ručno dodala tekstualne, slikovne ili druge bilješke .",kamp:P50034,kamo:C10007,kamo:P70174
kamp:P50040,ima kolektivnog agenta anotatora,kamp:C10005,"Povezuje primjerak s kolektivnim agentom koji je na primjerak tiskanog sveska ručno dodao tekstualne, slikovne ili druge bilješke.",kamp:P50035,kamka:C10008,kamka:P80167
kamp:P50041,ima korporativno tijelo anotatora,kamp:C10005,"Povezuje primjerak s korporativnim tijelom koje je na primjerak tiskanog sveska ručno dodao tekstualne, slikovne ili druge bilješke.",kamp:P50036,kamkt:C10009,kamkt:P90166
kamp:P50042,ima obitelj anotatora,kamp:C10005,"Povezuje primjerak s obitelji koja je na primjerak tiskanog sveska ručno dodala tekstualne, slikovne ili druge bilješke.",kamp:P50037,kamob:C10010,kamob:P10165
kamp:P50043,ima agenta iluminatora,kamp:C10005,Povezuje primjerak s agentom koji je ukrasio primjerak tiskanog ili rukopisnog sveska iluminacijamaa.,kamp:P50033,kama:C10006,kama:P60166
kamp:P50044,ima osobu iluminatora,kamp:C10005,Povezuje primjerak s osobom koja je ukrasila primjerak tiskanog ili rukopisnog sveska iluminacijama.,kamp:P50034,kamo:C10007,kamo:P70175
kamp:P50045,ima kolektivnog agenta iluminatora,kamp:C10005,Povezuje primjerak s kolektivnim agentom koji je ukrasio primjerak tiskanog ili rukopisnog sveska iluminacijama.,kamp:P50035,kamka:C10008,kamka:P80168
kamp:P50046,ima korporativno tijelo iluminatora,kamp:C10005,Povezuje primjerak s korporativnim tijelom koje je ukrasilo primjerak tiskanog ili rukopisnog sveska iluminacijama.,kamp:P50036,kamkt:C10009,kamkt:P90167
kamp:P50047,ima obitelj iluminatora,kamp:C10005,Povezuje primjerak s obitelji koja je ukrasila primjerak tiskanog ili rukopisnog sveska iluminacijama.,kamp:P50037,kamob:C10010,kamob:P10166
kamp:P50048,ima agenta knjigovežu,kamp:C10005,Povezuje primjerak s agentom koji je uvezao tiskani ili rukopisni svezak.,kamp:P50033,kama:C10006,kama:P60167
kamp:P50049,ima osobu knjigovežu,kamp:C10005,Povezuje primjerak s osobom koja je uvezala tiskani ili rukopisni svezak.,kamp:P50034,kamo:C10007,kamo:P70176
kamp:P50050,ima kolektivnog agenta knjigovežu,kamp:C10005,Povezuje primjerak s kolektivnim agentom koji je uvezao tiskani ili rukopisni svezak.,kamp:P50035,kamka:C10008,kamka:P80169
kamp:P50051,ima korporativno tijelo knjigovežu,kamp:C10005,Povezuje primjerak s korporativnim tijelom koje je uvezalo tiskani ili rukopisni svezak.,kamp:P50036,kamkt:C10009,kamkt:P90168
kamp:P50052,ima obitelj knjigovežu,kamp:C10005,Povezuje primjerak s obitelji koja je uvezala tiskani ili rukopisni svezak.,kamp:P50037,kamob:C10010,kamob:P10167
kamp:P50053,ima agenta preparatora,kamp:C10005,Povezuje primjerak s agentom koji je izradio preparat  prirodoslovnog objekta.,kamp:P50025,kama:C10006,kama:P60178
kamp:P50054,ima osobu preparatora,kamp:C10005,Povezuje primjerak s osobom koja je izradila preparat  prirodoslovnog objekta.,kamp:P50026,kamo:C10007,kamo:P70187
kamp:P50055,ima kolektivnog agenta preparatora,kamp:C10005,Povezuje primjerak s korporativnim agentom koji je izradio preparat  prirodoslovnog objekta.,kamp:P50027,kamka:C10008,kamka:P80181
kamp:P50056,ima korporativno tijelo preparatora,kamp:C10005,Povezuje primjerak s korporativnim tijelom koje je izradilo preparat  prirodoslovnog objekta.,kamp:P50028,kamkt:C10009,kamkt:P90179
kamp:P50057,ima obitelj preparatora,kamp:C10005,Povezuje primjerak s obitelji koja je izradila preparat  prirodoslovnog objekta.,kamp:P50029,kamob:C10010,kamob:P10178
kamp:P50058,ima agenta restauratora,kamp:C10005,Povezuje primjerak s agentom koji je preinačio primjerak kako bi zaustavio njegovo propadanje i vratio ga u stanje najbliže onome kakvo je bilo u određenom razdoblju njegove prošlosti.,kamp:P50033,kama:C10006,kama:P60168
kamp:P50059,ima osobu restauratora,kamp:C10005,Povezuje primjerak s osobom koja je preinačila primjerak kako bi zaustavila njegovo propadanje i vratila ga u stanje najbliže onome kakvo je bilo u određenom razdoblju njegove prošlosti.,kamp:P50034,kamo:C10007,kamo:P70177
