CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamd:P20288,ima korporativno tijelo savjetnika,kamd:C10002,Povezuje djelo s korporativnim tijelom koje je sudjelovalo u stvaranju djela svojim stručnim znanjem ili iskustvom u određenom području djelovanja.,kamd:P20287,kamkt:C10009,kamkt:P90074
kamd:P20289,ima obitelj savjetnika,kamd:C10002,Povezuje djelo s obitelji koja je sudjelovala u stvaranju djela svojim stručnim znanjem ili iskustvom u određenom području djelovanja.,kamd:P20287,kamob:C10010,kamob:P10073
kamd:P20290,je povezano s mjestom,kamd:C10002,Povezuje djelo s mjestom.,kamd:P20017,kamm:C10011,kamm:P11004
kamd:P20291,ima mjesto nastanka djela,kamd:C10002,Povezuje djelo s mjestom na kojemu je djelo nastalo,kamd:P20290,kamm:C10011,kamm:P11005
kamd:P20292,ima navodno mjesto nastanka djela,kamd:C10002,Povezuje djelo s  mjestom za koje se pogrešno ili neistinito navodi da je povezano s nastankom djela.,kamd:P20290,kamm:C10011,kamm:P11008
kamd:P20293,ima pretpostavljeno mjesto nastanka djela,kamd:C10002,Povezuje djelo s mjestom za koje se opravdano pretpostavlja da je povezano s nastankom djela.,kamd:P20290,kamm:C10011,kamm:P11007
kamd:P20294,je povezano s vremenskim rasponom,kamd:C10002,Povezuje djelo s vremenskim rasponom.,kamd:P20017,kamvr:C10012,kamvr:P12003
kamd:P20295,ima navodno vrijeme nastanka djela,kamd:C10002,Povezuje djelo s vremenskim rasponom  za koji se pogrešno ili neistinito navodi da je povezan s nastankom djela.,kamd:P20294,kamvr:C10012,kamvr:P12004
kamd:P20296,ima pretpostavljeno vrijeme nastanka djela,kamd:C10002,Povezuje djelo s vremenskim rasponom za koji se opravdano pretpostavlja da je povezan s nastankom djela.,kamd:P20294,kamvr:C10012,kamvr:P12005
kamd:P20297,ima vrijeme nastanka djela,kamd:C10002,Povezuje djelo s vremenskim rasponom u kojemu je djelo nastalo.,kamd:P20294,kamvr:C10012,kamvr:P12006
kamd:P20298,je djelo povezano s nomenom za djelo,kamd:C10002,Povezuje djelo s nomenom.,kamd:P20017,kamn:C10013,kamn:P13019
kamd:P20299,ima oznaku za djelo,kamd:C10002,Povezuje djelo s oznakom.,kamd:P20298,kamn:C10013,kamn:P13020
kamd:P20300,ima nadziranu pristupnicu za djelo,kamd:C10002,"Povezuje djelo s nadziranom riječi ili nizom riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira djelo i okuplja podatke o djelu.",kamd:P20299,kamn:C10013,kamn:P13021
kamd:P20301,ima usvojenu pristupnicu za djelo,kamd:C10002,"Povezuje djelo s usvojenom riječi ili nizom riječi i/ili drugih oznaka, koja unutar nekog sustava jednoznačno identificira djelo i okuplja podatke o djelu. ",kamd:P20300,kamn:C10013,kamn:P13022
kamd:P20302,ima varijantnu pristupnicu za djelo,kamd:C10002,"Povezuje djelo s riječi ili nizom riječi ili znakova koji identificiraju djelo unutar određenog sustava, a nisu odabrani za usvojenu pristupnicu.",kamd:P20300,kamn:C10013,kamn:P13023
kamd:P20303,ima naslov djela,kamd:C10002,Povezuje djelo s naslovom djela.,kamd:P20299,kamn:C10013,kamn:P13024
kamd:P20304,ima usvojeni naslov djela,kamd:C10002,Povezuje djelo s riječi ili nizom riječi i/ili znakova kojima se daje prednost u imenovanju djela unutar određenog sustava. ,kamd:P20303,kamn:C10013,kamn:P13025
kamd:P20305,ima varijantni naslov djela,kamd:C10002,"Povezuje djelo s riječi ili nizom riječi ili znakova koji imenuju djelo unutar nekog sustava, a nisu odabrani za usvojeni naslov djela.",kamd:P20303,kamn:C10013,kamn:P13027
kamd:P20307,ima dodatno obilježje djela,kamd:C10002,"Povezuje djelo s riječi, brojkom ili nizom riječi, brojki ili drugih znakova, koji služi razlikovanju djelâ koja imaju isti naslov ili razlikovanju djela od drugih jedinica opisa čije je ime jednako ili slično njegovom naslovu.",,,
kamd:P20308,ima ključni naslov,kamd:C10002,"Povezuje djelo s naslovom u standardiziranom obliku koji je serijskom djelu dodijelio nadležni nacionalni ured za ISSN (International standard serial number, Međunarodni standardni broj serijske publikacije).",kamd:P20299,kamn:C10013,kamn:P13030
kamd:P20309,ima identifikator djela,kamd:C10002,Povezuje djelo s brojčanom ili slovno-brojčanom oznakom koja unutar određenog sustava jednoznačno identificira djelo sadržano u jedinici građe.,kamd:P20299,kamn:C10013,kamn:P13031
kamd:P20310,ima brojčane i kronološke oznake serijskog djela,kamd:C10002,"Povezuje djelo s brojkama, slovima, kraticama ili drugim oznakama koje označavaju prvi ili najraniji dostupni te posljednji uzastopni dio objavljenoga serijskog djela (godište, svezak, broj itd.) i/ili vrijeme njihova nastanka.  ",,,
kamd:P20311,ima napomenu o djelu,kamd:C10002,Povezuje djelo s kratkim tekstom o općim svojstvima djela.,kamjo:P10022,,
kamd:P20312,ima napomenu o identifikaciji djela,kamd:C10002,"Povezuje djelo s kratkim tekstom u kojemu se navode objašnjenja i druge pojedinosti o identifikacijskim podacima o djelu (identifikator djela, usvojeni naslov djela, varijantni naslov djela, brojčane i kronološke oznake) i/ili izvorima iz kojih su identifikacijski podaci preuzeti.",kamd:P20311,,
kamd:P20313,ima napomenu o odnosu djela i drugih jedinica opisa,kamd:C10002,Povezuje djelo s tekstom u kojemu se identificira odnos između djela i druge jedinice opisa i/ili objašnjavaju pojedinosti o tom odnosu koje nisu odgovarajuće iskazane u drugim elementima podataka.,kamjo:P20311,,
